id;start_date;end_date;language
1;2023-12-04T02:24:12;2023-12-03T22:06:17;SPANISH
2;2023-12-04T00:20:06;2023-12-04T09:46:53;ENGLISH
3;2023-12-03T19:16:10;2023-12-04T11:34:18;ENGLISH
4;2023-12-04T11:06:17;2023-12-04T08:11:18;FRENCH
5;2023-12-04T00:30:37;2023-12-04T01:55:57;ENGLISH
6;2023-12-03T22:57:05;2023-12-04T06:26:12;ENGLISH
7;2023-12-03T16:22:44;2023-12-03T18:17:31;ENGLISH
8;2023-12-04T10:12:27;2023-12-03T17:13:07;ENGLISH
9;2023-12-04T10:39:16;2023-12-03T23:06:26;FRENCH
10;2023-12-04T10:21:39;2023-12-03T18:03:26;SPANISH
